AppName; LastStart; LastClose; LastSessionTime; SessionTime; TotalTimeSpent
Qt Creator; 2024-04-24 16:19:05; ; 00:00:03; 00:00:00; 00:00
TimeUsage; 2024-04-24 16:19:05; ; 00:00:03; 00:00:00; 00:00
Opera; 2024-04-24 16:19:05; ; 00:00:03; 00:00:00; 00:00
Settings; 2024-04-24 16:19:05; ; 00:00:03; 00:00:00; 00:00
NVIDIA GeForce Overlay; 2024-04-24 16:19:05; ; 00:00:03; 00:00:00; 00:00
Microsoft Text Input Application; 2024-04-24 16:19:05; ; 00:00:03; 00:00:00; 00:00
Program Manager; 2024-04-24 16:19:05; ; 00:00:03; 00:00:00; 00:00
